alias,service,region_label,view_sessions,avg_session_duration_s,median_session_duration_s,n_visits,avg_visit_duration_s,avg_files_per_visit,new_asset_fraction_per_visit,download_stream_ratio,distinct_testing_assets,testing_assets_pct,distinct_nontesting_assets,testing_only,coverage_fraction,n_dandisets_touched,dandiset_coverage_fraction,mean_within_dandiset_saturation,max_within_dandiset_saturation,session_gap_cv,visit_gap_cv,active_timespan_days,distinct_active_days,presence_density,off_hours_fraction,weekend_fraction
BraveFinch8003,geographic,USA/NH,6463827,1057.8127969699683,1.0,102,58768.75490196078,35978.32352941176,0.08711208910183693,0.02968567034675009,3,37.5,56214,False,0.08589121088318967,224,0.35,0.6118958875563465,1.0,650.7065572862072,4.149922062294656,1225.0647800925926,137,0.11183082088903518,0.6778021750891539,0.2249421279375206
IvoryLynx4316,geographic,USA/MA,563599,321.0454063971015,0.0,156,37458.756410256414,3598.852564102564,0.8070019427038371,0.019401436277078476,7,87.5,437796,False,0.6688978387016932,589,0.9203125,0.7335918901251516,1.0,74.48263553323655,4.389715746970927,407.80820601851855,200,0.49042661978929875,0.5019384349510911,0.3213703360013059
SageRaven5593,geographic,USA/MA,207056,455.8898558843984,0.0,103,29923.11650485437,2003.7087378640776,0.9743391514654887,0.0012766773019958389,1,12.5,194499,False,0.2971670583058575,508,0.79375,0.3600263874555617,1.0,38.20226705692132,3.60246594390656,402.84197916666665,128,0.3177424563963899,0.526785024341241,0.23916718182520671
JollyQuartz8636,geographic,CHN,195078,283.79157567742135,1.0,7,393378.71428571426,27803.85714285714,0.7469076065733128,2.821924454626909e-06,5,62.5,170963,False,0.26121366387884754,431,0.6734375,0.7485244334435673,1.0,254.3965460427389,,245.21957175925925,38,0.15496316108612224,0.5927372640687315,0.3900798654897016
AmberUmber9600,geographic,USA/VT,139568,314.12383927547864,1.0,47,26996.17021276596,2956.468085106383,0.37341353374745356,0.02449303591906917,4,50.0,54634,False,0.08347873383915394,212,0.33125,0.6317273723794767,1.0,163.39773128013798,4.3847852745121845,387.79877314814814,50,0.12893284729629312,0.22786741946578012,0.0008669609079445146
TidyNimbus8352,geographic,USA/NV,76234,99.40702311304668,2.0,11,102569.90909090909,6927.818181818182,0.27991042122260734,0.3939257377846932,1,12.5,53701,False,0.08204866511640699,95,0.1484375,0.6840013858641533,1.0,85.91966705468464,,42.9449537037037,22,0.5122837051307068,0.5008788729438308,0.04516357530760553
CleverMeadow6014,geographic,USA,67324,35.27917236052522,1.0,2,1495032.5,33661.0,0.999940919295758,0.0,1,12.5,67318,False,0.10285341490021604,382,0.596875,0.3236652266743615,1.0,5.693719902596296,,34.9959375,36,1.0286908301856466,0.4959004218406512,0.32720872200106943
CalmCedar0796,geographic,USA/MA,56902,1291.2105901374293,0.0,106,19718.415094339623,534.622641509434,0.928099798727731,0.001142416287670616,0,0.0,55241,False,0.08440002811246207,257,0.4015625,0.20243390793741237,1.0,26.11007901861037,1.6778018467527958,319.8979282407407,117,0.3657416621715383,0.812308881937366,0.14468735721064285
CobaltBadger5843,geographic,NLD,56239,452.0624299863084,3.0,20,58372.05,2811.9,0.9995454545454546,3.4411438206710567,2,25.0,56235,False,0.08592176790717998,224,0.35,0.4050704066690544,1.0,27.596771435877926,1.0842602935770171,24.959502314814817,26,1.0416874371957165,0.4822809793915255,0.32312096587777167
WittyFalcon3568,geographic,CAN/QC,53936,71.45548427766242,2.0,9,49291.11111111111,5972.111111111111,0.6326823036158834,0.0005568697477057887,1,12.5,52737,False,0.08057581656007358,183,0.2859375,0.8513461557108619,1.0,81.93499081194192,,20.588946759259258,12,0.5828370018297979,0.727324977751409,0.5405851379412637
