service,n_ips,view_sessions,visits,avg_session_duration_s,median_session_duration_s,avg_visit_duration_s,avg_files_per_visit,n_ips_selection,mean_new_asset_fraction_per_visit,mean_download_stream_ratio,mean_active_timespan_days,mean_distinct_active_days,mean_presence_density,mean_off_hours_fraction,mean_weekend_fraction,mean_dandisets_touched,mean_dandiset_coverage_fraction,mean_within_dandiset_saturation,n_testing_only_ips,mean_distinct_testing_assets,mean_distinct_nontesting_assets,testing_session_pct
geographic,1576,8507653,30645,4757.531453256757,1019.6595812182741,17484.49071344365,227.22295247921468,893,0.46887250239159184,0.9643269490992388,162.6627491583827,18.081218274111674,30.468971703299562,0.4510456867371526,0.19021918785075342,14.366116751269036,0.02244705742385787,0.3285358842711933,53,0.7842639593908629,1066.0088832487309,0.26860521932429543
GH-actions,4022,2311131,97309,272.4812155681232,17.165589259075087,1613.3012712949728,167.7539079680058,3241,0.4280312178219809,0.4448801484589359,283.9321045850829,23.14271506713078,13.366993377931877,0.5945381265497991,0.24990212668923262,58.61685728493287,0.09158883950770762,0.19213107074760571,259,2.635007458975634,544.1143709597216,4.3947746795832865
AWS,1003,595557,1686,651.6602635405461,419.14855433698904,26375.396140245317,452.95625104748177,70,0.745917070642262,0.01585944604792333,7.668437176895241,1.918245264207378,57.17308956061219,0.42334918312586906,0.14907178422039896,5.9252243270189435,0.009258163010967099,0.3257894146560668,2,0.1016949152542373,555.7347956131605,0.04298497037227335
VPN,996,281000,32303,2815.9236214090924,366.01656626506025,13838.47273982332,65.80744659961157,769,0.514004624840625,0.646040644054533,145.46868479705861,29.33132530120482,181.36295997723204,0.5501232050437704,0.17211029711783066,19.372489959839356,0.030269515562248998,0.20747487035811124,21,1.3684738955823292,227.94979919678715,13.480071174377224
GCP,580,48289,736,831.9325823627651,641.9612068965517,4435.974563181072,70.17567821067821,20,0.8908763716609645,0.027013729751986165,2.330640425446999,1.2810344827586206,231.98099534678772,0.403298224852568,0.1390450969571039,1.456896551724138,0.0022764008620689657,0.7048091090595838,0,0.010344827586206896,82.71551724137932,0.0828346000124252
